name,gas,temp,pressure,cutoff,path,henry_coeff,source_chunk
GACYER_clean,argon,293.0,5.0,14.0,GACYER_clean_argon_293.0K_5.0bar_14.0/Output/System_0,4.73916e-06,chunk_1
HIZSEQ_clean,argon,293.0,5.0,14.0,HIZSEQ_clean_argon_293.0K_5.0bar_14.0/Output/System_0,4.31017e-06,chunk_1
QUQQOJ_clean,argon,293.0,5.0,14.0,QUQQOJ_clean_argon_293.0K_5.0bar_14.0/Output/System_0,5.98474e-06,chunk_1
MUVJAP_clean,argon,293.0,5.0,14.0,MUVJAP_clean_argon_293.0K_5.0bar_14.0/Output/System_0,4.14564e-06,chunk_1
ZADREE_clean,argon,293.0,5.0,14.0,ZADREE_clean_argon_293.0K_5.0bar_14.0/Output/System_0,0.000103253,chunk_1
FUVGAG02_clean,argon,293.0,5.0,14.0,FUVGAG02_clean_argon_293.0K_5.0bar_14.0/Output/System_0,6.95081e-07,chunk_1
CIWYUD_clean,argon,293.0,5.0,14.0,CIWYUD_clean_argon_293.0K_5.0bar_14.0/Output/System_0,3.41036e-06,chunk_1
WODREO_clean,argon,293.0,5.0,14.0,WODREO_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.04574e-05,chunk_1
OTOZAA_clean,argon,293.0,5.0,14.0,OTOZAA_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.25357e-05,chunk_1
BELTOD_clean,argon,293.0,5.0,14.0,BELTOD_clean_argon_293.0K_5.0bar_14.0/Output/System_0,4.88398e-06,chunk_1
WOJYOL_clean,argon,293.0,5.0,14.0,WOJYOL_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.85449e-05,chunk_1
ja202154j_si_003_clean,argon,293.0,5.0,14.0,ja202154j_si_003_clean_argon_293.0K_5.0bar_14.0/Output/System_0,2.65451e-06,chunk_1
acscombsci.5b00188_5013797_clean,argon,293.0,5.0,14.0,acscombsci.5b00188_5013797_clean_argon_293.0K_5.0bar_14.0/Output/System_0,3.42717e-06,chunk_1
UYAMOY_clean,argon,293.0,5.0,14.0,UYAMOY_clean_argon_293.0K_5.0bar_14.0/Output/System_0,6.25471e-06,chunk_1
ja4015666_si_002_clean,argon,293.0,5.0,14.0,ja4015666_si_002_clean_argon_293.0K_5.0bar_14.0/Output/System_0,3.19607e-06,chunk_1
YORRII_clean,argon,293.0,5.0,14.0,YORRII_clean_argon_293.0K_5.0bar_14.0/Output/System_0,7.89479e-06,chunk_1
RORTID_clean,argon,293.0,5.0,14.0,RORTID_clean_argon_293.0K_5.0bar_14.0/Output/System_0,4.01977e-06,chunk_1
AFOVEX_clean,argon,293.0,5.0,14.0,AFOVEX_clean_argon_293.0K_5.0bar_14.0/Output/System_0,4.79701e-06,chunk_1
