train_ratio,qt_frac,seed,R2,MAE,RMSE,MAPE(%)
0.6,0.0,2029,0.9674164425125427,0.16475754699268505,0.06259371292059303,5.7370818162860475
0.6,0.3,2025,0.9654187521492027,0.1647757034046808,0.05681979925124337,5.491420824728698
0.6,0.3,2026,0.9660972198583534,0.16557340392723913,0.05718599287896214,5.532680665885208
0.6,0.3,2027,0.957476483579389,0.16620231557496015,0.07294323791252474,5.468802409226508
0.6,0.3,2028,0.9591365266829419,0.1674133469470793,0.06772646564597488,5.4779487489650665
0.6,0.3,2029,0.9603918261704627,0.16458306373012024,0.06802178207865803,5.3564666545940804
0.6,0.6,2025,0.9608439336977944,0.16642552993942242,0.05520705637418913,5.349274140729027
0.6,0.6,2026,0.9604318982526235,0.1681643418298076,0.05717386949495118,5.388166594617562
0.6,0.6,2027,0.9598165336673605,0.1699361442254424,0.05809234966063931,5.370320553681177
0.6,0.6,2028,0.9596746785439455,0.16976311778645808,0.058222540323378806,5.404015200378316
0.6,0.6,2029,0.9588106687646238,0.1699487733203233,0.060332041820597065,5.453847321624101
0.65,0.0,2025,0.9628122892434827,0.16473465653264183,0.07101110714117156,5.9271536073466295
0.65,0.0,2026,0.9670318277062786,0.16686535330507896,0.061956652076681044,5.883730304831228
0.65,0.0,2027,0.9542222751895791,0.17506472677616167,0.08706911943809666,6.0375873593536795
0.65,0.0,2028,0.9675749445030923,0.16927721031717555,0.06263072917081244,5.942497846031267
0.65,0.0,2029,0.9680380061255088,0.16597233002206957,0.06044650869985785,5.936105151703951
0.65,0.33,2025,0.9648078401886339,0.16621327358559457,0.05600393213565064,5.550036561294785
0.65,0.33,2026,0.9634371710193022,0.16750996148246597,0.060197701367006536,5.439194148040037
0.65,0.33,2027,0.9663626286070207,0.1620067537445829,0.05520575308174542,5.24549311219748
0.65,0.33,2028,0.9587078641544142,0.16616667188869438,0.06848230925646677,5.543714605069866
0.65,0.33,2029,0.9562328292456665,0.16612709606721784,0.07524390166128998,5.439916371939085
0.65,0.65,2025,0.9605220242658922,0.1631671884684459,0.053980559195881204,5.191822123352888
0.65,0.65,2026,0.9594812423778514,0.16795640826256913,0.05624111391102385,5.419308548953492
0.65,0.65,2027,0.9596263549385393,0.17121920454227882,0.056610922526770184,5.510931322969996
0.65,0.65,2028,0.9565387767431084,0.1689837265141503,0.0594146223211129,5.316330983584858
0.65,0.65,2029,0.9612685398176001,0.16582223091984094,0.05589280624564492,5.2906336250883905
0.7,0.0,2025,0.9661732563758474,0.1697969544757705,0.06301494565833064,6.009398055563262
0.7,0.0,2026,0.9693865994843947,0.16291305379632792,0.05732997258993251,5.737043266617267
0.7,0.0,2027,0.9658975038408387,0.16822283595165313,0.06427665283291262,5.966964607751944
0.7,0.0,2028,0.9707271955115898,0.1609799584841475,0.05557657971824811,5.865277758194626
0.7,0.0,2029,0.9609957757272244,0.1654283197481724,0.07462381725797422,5.710613102342119
0.7,0.35,2025,0.9527272634443923,0.16926789715038235,0.07536870092978115,5.580404839393127
0.7,0.35,2026,0.9662339333766604,0.1612020111151875,0.05291859632709841,5.372976584764977
0.7,0.35,2027,0.9626165762968915,0.16733245607600195,0.061286282729396714,5.5022165273078425
0.7,0.35,2028,0.9655658527007381,0.16071360347050542,0.05518777431927983,5.296972108829034
0.7,0.35,2029,0.9620323222061895,0.168325607401376,0.0610387688782862,5.473181242133595
0.7,0.7,2025,0.9599382662143974,0.1668903515586275,0.0559693949253444,5.378823470598762
0.7,0.7,2026,0.9591596174492587,0.16861672893140817,0.05617925353349953,5.376453500347878
0.7,0.7,2027,0.9471157919685704,0.16894323199455435,0.07427273741174002,5.288118879895544
0.7,0.7,2028,0.9596030018041142,0.16773936943268924,0.05558747488186548,5.246573269359941
0.7,0.7,2029,0.9599794602856575,0.16486642180595693,0.05527252850735542,5.253786192952802
0.75,0.0,2025,0.9592018877294366,0.16595963479868603,0.07472537301130812,5.887388340230908
0.75,0.0,2026,0.9673879024061983,0.16137247966865875,0.059817853100212065,5.652909356448146
0.75,0.0,2027,0.9672146600930711,0.16745391048484567,0.06319489542201202,5.929235092860372
0.75,0.0,2028,0.9729952411303822,0.1543515976433772,0.051206563210394525,5.573076531255786
0.75,0.0,2029,0.9677417907258049,0.16606400939368568,0.060763289623005395,5.918187406150766
0.75,0.38,2025,0.9629916251536323,0.1645981175594796,0.0578389795797298,5.466150706273118
0.75,0.38,2026,0.9649798779592469,0.16118627632485555,0.05386970386860856,5.357846838688901
0.75,0.38,2027,0.9660021104007589,0.16356293779864603,0.05394667124444532,5.264731094815069
0.75,0.38,2028,0.9505243291563953,0.16895037834973348,0.08264056409628882,5.51717920361515
0.75,0.38,2029,0.9536616144437919,0.16580580459383612,0.07532626351293263,5.454958331421303
