name,gas,temp,pressure,cutoff,path,henry_coeff,source_chunk
KUJNOT_clean,argon,273.0,5.0,14.0,KUJNOT_clean_argon_273.0K_5.0bar_14.0/Output/System_0,5.75271e-06,chunk_1
RUYQOT_clean,argon,273.0,5.0,14.0,RUYQOT_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.11725e-06,chunk_1
NOMPOW_clean,argon,273.0,5.0,14.0,NOMPOW_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.85475e-06,chunk_1
COWDEZ_clean,argon,273.0,5.0,14.0,COWDEZ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.9883e-06,chunk_1
BEXTUV_clean,argon,273.0,5.0,14.0,BEXTUV_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.71933e-05,chunk_1
UMOVID_clean,argon,273.0,5.0,14.0,UMOVID_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.84255e-06,chunk_1
ONUJUE_clean,argon,273.0,5.0,14.0,ONUJUE_clean_argon_273.0K_5.0bar_14.0/Output/System_0,8.94554e-06,chunk_1
XOBDUO_clean,argon,273.0,5.0,14.0,XOBDUO_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.00509e-06,chunk_1
LUNBAX_clean,argon,273.0,5.0,14.0,LUNBAX_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.89978e-07,chunk_1
NUDMUW_clean,argon,273.0,5.0,14.0,NUDMUW_clean_argon_273.0K_5.0bar_14.0/Output/System_0,7.70247e-06,chunk_1
AVIVUW_clean,argon,273.0,5.0,14.0,AVIVUW_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.43171e-06,chunk_1
FIPXAF_clean,argon,273.0,5.0,14.0,FIPXAF_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.17126e-05,chunk_1
MIMSUY_clean,argon,273.0,5.0,14.0,MIMSUY_clean_argon_273.0K_5.0bar_14.0/Output/System_0,7.11087e-06,chunk_1
FOLLEZ_clean,argon,273.0,5.0,14.0,FOLLEZ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.7921e-05,chunk_1
JETZAK_clean,argon,273.0,5.0,14.0,JETZAK_clean_argon_273.0K_5.0bar_14.0/Output/System_0,7.82774e-06,chunk_1
MATWUC_clean,argon,273.0,5.0,14.0,MATWUC_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.13571e-05,chunk_1
SUXGUP_clean,argon,273.0,5.0,14.0,SUXGUP_clean_argon_273.0K_5.0bar_14.0/Output/System_0,7.32472e-06,chunk_1
MIFGEP_clean,argon,273.0,5.0,14.0,MIFGEP_clean_argon_273.0K_5.0bar_14.0/Output/System_0,8.59624e-06,chunk_1
UMOKIS_clean,argon,273.0,5.0,14.0,UMOKIS_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.16197e-06,chunk_1
PUGSER_clean,argon,273.0,5.0,14.0,PUGSER_clean_argon_273.0K_5.0bar_14.0/Output/System_0,5.03367e-06,chunk_1
NAQLAT_clean,argon,273.0,5.0,14.0,NAQLAT_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.8554e-05,chunk_1
c6cc02494g_c6cc02494g4_clean,argon,273.0,5.0,14.0,c6cc02494g_c6cc02494g4_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.28241e-06,chunk_1
YUSGOJ_SL,argon,273.0,5.0,14.0,YUSGOJ_SL_argon_273.0K_5.0bar_14.0/Output/System_0,3.16876e-06,chunk_1
ZEVXAB_clean,argon,273.0,5.0,14.0,ZEVXAB_clean_argon_273.0K_5.0bar_14.0/Output/System_0,5.17316e-06,chunk_1
ic502488c_si_002_clean,argon,273.0,5.0,14.0,ic502488c_si_002_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.41523e-05,chunk_1
DALVIY_clean,argon,273.0,5.0,14.0,DALVIY_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.86399e-06,chunk_1
XOTGUI_clean,argon,273.0,5.0,14.0,XOTGUI_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.09561e-06,chunk_1
FAPXIG_clean,argon,273.0,5.0,14.0,FAPXIG_clean_argon_273.0K_5.0bar_14.0/Output/System_0,7.79806e-06,chunk_1
OCIMEV_clean,argon,273.0,5.0,14.0,OCIMEV_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.05063e-05,chunk_1
